"Surname","CreditScore","Geography","Gender","Age","Tenure","Balance","NumOfProducts","HasCrCard","IsActiveMember","EstimatedSalary","Exited","Satisfaction.Score","Card.Type","Point.Earned"
"Lorenzo",804,"Spain","Male","33",7,76548.6,1,0,1,98453.45,0,2,"GOLD",994
"Armstrong",850,"France","Male","36",7,0,1,1,1,40812.9,0,3,"GOLD",944
"Cameron",582,"Germany","Male","41",6,70349.48,2,0,1,178074.04,0,5,"GOLD",419
"Hsiao",472,"Spain","Male","40",4,0,1,1,0,70154.22,0,4,"DIAMOND",545
"Clarke",465,"France","Female","51",8,122522.32,1,0,0,181297.65,1,5,"SILVER",828
"Osborne",556,"France","Female","61",2,117419.35,1,1,1,94153.83,0,3,"PLATINUM",789
"Lavine",834,"France","Female","49",2,131394.56,1,0,0,194365.76,1,2,"GOLD",567
"Bianchi",660,"Spain","Female","61",5,155931.11,1,1,1,158338.39,0,1,"PLATINUM",884
"Tyler",776,"Germany","Female","32",4,109421.13,2,1,1,126517.46,0,1,"SILVER",296
"Martin",829,"Germany","Female","27",9,112045.67,1,1,1,119708.21,1,3,"DIAMOND",779
"Okagbue",637,"Germany","Female","39",9,137843.8,1,1,1,117622.8,1,1,"SILVER",730
"Yin",550,"Germany","Male","38",2,103391.38,1,0,1,90878.13,0,3,"DIAMOND",960
"Buccho",776,"Germany","Female","37",2,103769.22,2,1,0,194099.12,0,1,"SILVER",268
"Chidiebele",698,"Germany","Male","44",10,116363.37,2,1,0,198059.16,0,4,"SILVER",829
"Trevisani",585,"Germany","Male","36",5,146050.97,2,0,0,86424.57,0,3,"SILVER",665
"O'Brien",788,"France","Female","33",5,0,2,0,0,116978.19,0,3,"GOLD",982
"Parkhill",655,"Germany","Male","41",8,125561.97,1,0,0,164040.94,1,3,"SILVER",343
"Yoo",601,"Germany","Male","42",1,98495.72,1,1,0,40014.76,1,2,"DIAMOND",225
"Phillipps",619,"France","Male","43",1,125211.92,1,1,1,113410.49,0,5,"SILVER",657
"Tsao",656,"France","Male","45",5,127864.4,1,1,0,87107.57,0,2,"PLATINUM",221
"Endrizzi",725,"Germany","Male","19",0,75888.2,1,0,0,45613.75,0,2,"PLATINUM",406
"T'ien",511,"Spain","Female","66",4,0,1,1,0,1643.11,1,5,"SILVER",549
"Velazquez",614,"France","Male","51",4,40685.92,1,1,1,46775.28,0,4,"PLATINUM",954
"Hunter",742,"Germany","Male","35",5,136857,1,0,0,84509.57,0,4,"GOLD",823
"Clark",687,"Germany","Female","27",9,152328.88,2,0,0,126494.82,0,5,"DIAMOND",769
"Jeffrey",555,"Spain","Male","33",1,56084.69,2,0,0,178798.13,0,5,"PLATINUM",481
"Pirozzi",684,"Spain","Male","56",8,78707.16,1,1,1,99398.36,0,4,"SILVER",903
"Jackson",603,"Germany","Male","26",4,109166.37,1,1,1,92840.67,0,3,"PLATINUM",882
"Hammond",751,"Germany","Female","36",6,169831.46,2,1,1,27758.36,0,5,"GOLD",379
"Brownless",581,"Germany","Female","34",1,101633.04,1,1,0,110431.51,0,3,"PLATINUM",469
"Chibugo",735,"Germany","Male","43",10,123180.01,2,1,1,196673.28,0,3,"PLATINUM",683
"Glauert",661,"Germany","Female","35",5,150725.53,2,0,1,113656.85,0,1,"GOLD",770
"Pisano",675,"France","Female","21",8,98373.26,1,1,0,18203,0,5,"SILVER",985
"Konovalova",738,"Germany","Male","58",2,133745.44,4,1,0,28373.86,1,4,"GOLD",725
"McKee",813,"France","Male","29",6,0,1,1,0,33953.87,0,3,"PLATINUM",259
"Palermo",657,"Spain","Female","37",0,163607.18,1,0,1,44203.55,0,2,"GOLD",979
"Ballard",604,"Germany","Female","25",5,157780.84,2,1,1,58426.81,0,2,"SILVER",988
"Wallace",519,"France","Male","36",9,0,2,0,1,145562.4,0,2,"PLATINUM",833
"Cavenagh",735,"France","Female","21",1,178718.19,2,1,0,22388,0,1,"PLATINUM",527
"Hu",664,"France","Male","55",8,0,2,1,1,139161.64,0,5,"SILVER",220
"Read",678,"France","Female","32",9,0,1,1,1,148210.64,0,4,"GOLD",983
"Bushell",757,"Spain","Male","33",5,77253.22,1,0,1,194239.63,0,3,"SILVER",582
"Postle",416,"Germany","Female","41",10,122189.66,2,1,0,98301.61,0,3,"SILVER",281
"Buley",665,"France","Female","34",1,96645.54,2,0,0,171413.66,0,3,"DIAMOND",798
"Leonard",777,"France","Female","32",2,0,1,1,0,136458.19,1,5,"SILVER",917
"Mills",543,"France","Female","36",3,0,2,0,0,26019.59,0,2,"DIAMOND",255
"Onyeorulu",506,"France","Female","34",4,90307.62,1,1,1,159235.29,0,4,"SILVER",511
"Beit",493,"France","Female","46",4,0,2,1,0,1907.66,0,1,"SILVER",498
"Ndukaku",652,"Spain","Female","75",10,0,2,1,1,114675.75,0,5,"DIAMOND",651
"Gant",750,"Spain","Male","22",3,121681.82,1,1,0,128643.35,1,2,"SILVER",852
"Rowley",729,"France","Male","30",9,0,2,1,0,151869.35,0,1,"DIAMOND",807
"Sharpe",646,"France","Female","46",4,0,3,1,0,93251.42,1,3,"PLATINUM",470
"Osborne",635,"Germany","Female","28",3,81623.67,2,1,1,156791.36,0,1,"DIAMOND",659
"Heap",647,"Spain","Female","44",5,0,3,1,1,174205.22,1,3,"DIAMOND",752
"Ritchie",808,"France","Male","45",7,118626.55,2,1,0,147132.46,0,1,"SILVER",559
"Cole",524,"France","Female","36",10,0,2,1,0,109614.57,0,2,"GOLD",375
"Capon",769,"France","Male","29",8,0,2,1,1,172290.61,0,2,"DIAMOND",411
"Capon",730,"Spain","Male","42",4,0,2,0,1,85982.47,0,4,"DIAMOND",722
"Fiorentini",515,"Spain","Male","35",10,176273.95,1,0,1,121277.78,0,1,"GOLD",231
"Graham",773,"Spain","Male","41",9,102827.44,1,0,1,64595.25,0,5,"DIAMOND",488
"Yuille",814,"Germany","Male","29",8,97086.4,2,1,1,197276.13,0,2,"GOLD",965
"Allard",710,"Spain","Male","22",8,0,2,0,0,99645.04,0,4,"SILVER",289
"Fanucci",413,"France","Male","34",9,0,2,0,0,6534.18,0,1,"PLATINUM",449
"Fu",665,"France","Female","40",6,0,1,1,1,161848.03,0,2,"SILVER",651
"Hung",623,"France","Female","44",6,0,2,0,0,167162.43,0,2,"DIAMOND",520
"Hung",738,"France","Male","31",9,82674.15,1,1,0,41970.72,0,4,"DIAMOND",234
"Bradley",528,"Spain","Male","36",7,0,2,1,0,60536.56,0,5,"SILVER",458
"Dunbabin",670,"Spain","Female","65",1,0,1,1,1,177655.68,1,2,"GOLD",915
"Mauldon",622,"Spain","Female","46",4,107073.27,2,1,1,30984.59,1,3,"GOLD",299
"Stiger",582,"Germany","Male","32",1,88938.62,1,1,1,10054.53,0,4,"GOLD",838
"Parsons",785,"Germany","Female","36",2,99806.85,1,0,1,36976.52,0,5,"PLATINUM",786
"Walkom",605,"Spain","Male","33",5,150092.8,1,0,0,71862.79,0,3,"DIAMOND",509
"T'ang",479,"Germany","Male","35",9,92833.89,1,1,0,99449.86,1,3,"DIAMOND",328
"Eremenko",685,"Germany","Male","30",3,90536.81,1,0,1,63082.88,0,4,"SILVER",347
"Rowntree",538,"Germany","Male","39",7,108055.1,2,1,0,27231.26,0,5,"SILVER",534
"Thorpe",562,"France","Male","42",2,100238.35,1,0,0,86797.41,0,5,"PLATINUM",709
"Chiemela",675,"Spain","Male","36",9,106190.55,1,0,1,22994.32,0,4,"SILVER",749
"Fanucci",721,"Germany","Male","28",9,154475.54,2,0,1,101300.94,1,5,"PLATINUM",541
"Ko",628,"Germany","Female","30",9,132351.29,2,1,1,74169.13,0,2,"GOLD",736
"Welch",668,"Germany","Female","37",6,167864.4,1,1,0,115638.29,0,4,"SILVER",529
"Duncan",506,"France","Female","41",1,0,2,1,0,31766.3,0,4,"GOLD",594
"Chidozie",524,"Germany","Female","31",8,107818.63,1,1,0,199725.39,1,1,"SILVER",462
"Wu",699,"Germany","Male","34",4,185173.81,2,1,0,120834.48,0,3,"PLATINUM",429
"Culbreth",828,"France","Male","34",8,129433.34,2,0,0,38131.77,0,4,"SILVER",370
"Kennedy",674,"Spain","Male","39",6,120193.42,1,0,0,100130.95,0,1,"PLATINUM",510
"Cameron",656,"France","Female","39",6,0,2,1,0,141069.88,0,4,"DIAMOND",638
"Zetticci",625,"France","Female","28",3,0,1,0,0,183646.41,0,4,"GOLD",718
"Fuller",432,"-","Male","42",9,152603.45,1,1,0,110265.24,1,3,"DIAMOND",437
"MacDonald",549,NA,"Female","52",1,0,1,0,1,8636.05,1,4,"DIAMOND",485
"Piccio",625,"Germany","Male","56",0,148507.24,1,1,0,46824.08,1,3,"PLATINUM",410
"Kennedy",828,"France","Female","41",7,0,2,1,0,171378.77,0,2,"PLATINUM",666
"Fernie",770,"France","Male","24",9,101827.07,1,1,0,167256.35,0,4,"GOLD",730
"He",758,"France","Female","34",3,0,2,1,1,124226.16,0,2,"PLATINUM",375
"Kaodilinakachukwu",795,"Germany","Female","33",9,130862.43,1,1,1,114935.21,0,5,"GOLD",411
"Cocci",687,"France","Male","38",9,122570.87,1,1,1,35608.88,0,4,"DIAMOND",595
"Alekseeva",686,"France","Male","25",1,0,2,0,1,16459.37,0,1,"DIAMOND",578
"Chinweike",789,"Germany","Male","39",7,124828.46,2,1,1,124411.08,0,2,"PLATINUM",377
"Arthur",589,"Germany","Female","50",5,144895.05,2,1,1,34941.23,0,2,"GOLD",831
"Li",461,"Germany","Female","34",5,63663.93,1,0,1,167784.28,0,1,"SILVER",497
"Ma",637,"France","Male","40",2,133463.1,1,0,1,93165.34,0,1,"PLATINUM",374
"Chia",584,"Spain","Female","48",2,213146.2,1,1,0,75161.25,1,4,"DIAMOND",814
"Vasin",579,"Spain","Female","35",1,129490.36,2,0,1,8590.83,1,4,"GOLD",247
"Groves",756,"Germany","Male","44",10,137452.09,1,1,0,189543.9,0,5,"PLATINUM",965
"Tien",663,"France","Male","34",7,0,2,1,1,180427.24,0,3,"SILVER",912
"Forwood",682,"France","Female","43",5,125851.93,1,1,1,193318.33,0,4,"GOLD",462
"Greeves",793,"Spain","Male","52",2,0,1,1,0,159123.82,1,5,"GOLD",883
"Taylor",691,"France","Female","31",5,40915.55,1,1,0,126213.84,1,2,"SILVER",402
"Madukwe",485,"Spain","Female","21",5,113157.22,1,1,1,54141.5,0,4,"GOLD",764
"Bennelong",635,"Spain","Female","29",8,138296.94,2,1,0,141075.51,0,1,"PLATINUM",608
"Olisanugo",650,"France","Male","37",5,106967.18,1,0,0,24495.03,0,5,"PLATINUM",652
"Chukwufumnanya",735,"France","Male","44",9,120681.63,1,1,0,74836.34,0,2,"SILVER",520
"Harris",416,"France","Male","32",0,0,2,0,1,878.87,0,5,"GOLD",884
"Morgan",754,"Spain","Female","32",7,0,2,1,0,89520.75,0,1,"SILVER",800
"Alexeeva",535,"France","Female","48",9,0,1,1,0,149892.79,1,4,"GOLD",697
"Metcalfe",716,"Spain","Male","42",8,0,2,1,0,180800.42,0,2,"SILVER",427
"Humphries",539,"France","Male","37",2,127609.59,1,1,0,98646.22,0,1,"DIAMOND",620
"Milne",614,"France","Female","43",6,0,2,1,1,109041.53,0,1,"PLATINUM",318
"Chou",706,"Spain","Male","57",7,0,1,1,0,17941.16,1,1,"GOLD",701
"Li",758,"France","Female","33",7,0,2,0,0,82996.47,0,4,"PLATINUM",953
"Clayton",586,"Spain","Female","28",2,0,2,1,1,92067.35,0,5,"PLATINUM",635
"Maclean",646,"France","Female","73",6,97259.25,1,0,1,104719.66,0,1,"PLATINUM",250
"Chigolum",631,"Germany","Female","33",4,123246.7,1,0,0,112687.57,0,3,"SILVER",662
"Wilkinson",717,"Spain","Female","22",6,101060.25,1,0,1,84699.56,0,2,"GOLD",666
"Wei",684,"France","Male","30",2,0,2,1,0,83473.82,0,4,"DIAMOND",699
"Treacy",800,"France","Female","49",7,108007.36,1,0,0,47125.11,0,3,"PLATINUM",855
"Hu",721,"Spain","Female","36",2,0,2,1,1,106977.8,0,5,"SILVER",534
"Taverner",683,"Spain","Male","29",0,133702.89,1,1,0,55582.54,1,1,"PLATINUM",388
"Sherman",660,"Germany","Male","31",9,125189.75,2,1,1,139874.43,0,5,"GOLD",612
"Taubman",704,"Germany","Female","24",7,113034.22,1,1,0,162503.48,1,2,"PLATINUM",801
"Robinson",615,"Spain","Female","41",9,109013.23,1,1,0,196499.96,0,1,"PLATINUM",561
"Pinto",667,"Spain","Female","39",2,0,2,1,0,40721.24,1,5,"PLATINUM",308
"Wood",682,"Germany","Male","24",9,57929.81,2,0,0,53134.3,0,5,"SILVER",643
"Hawkins",484,"France","Female","29",4,130114.39,1,1,0,164017.89,0,1,"GOLD",249
"Sun",628,"Germany","Male","27",5,95826.49,2,1,0,155996.96,0,2,"SILVER",818
"Yost",480,"Germany","Male","44",10,129608.57,1,1,0,5472.7,1,1,"GOLD",775
"Ting",578,"France","Male","30",4,169462.09,1,1,0,112187.11,0,5,"DIAMOND",872
"Rowe",512,"France","Male","40",5,0,2,1,1,146457.83,0,3,"DIAMOND",435
"Fu",484,"Spain","Female","35",7,133868.21,1,1,1,27286.1,0,2,"SILVER",415
"Ho",510,"France","Female","30",0,0,2,1,1,130553.47,0,2,"DIAMOND",430
"Okechukwu",606,"Germany","Male","36",5,190479.48,2,0,0,179351.89,0,5,"PLATINUM",929
"Campbell",597,"Spain","Female","40",8,101993.12,1,0,1,94774.12,0,5,"SILVER",681
"Ashbolt",754,"Germany","Female","55",3,161608.81,1,1,0,8080.85,1,4,"GOLD",810
"Rozier",850,"Spain","Female","45",2,122311.21,1,1,1,19482.5,0,5,"GOLD",739
"Hsia",510,"France","Male","65",2,0,2,1,1,48071.61,0,1,"SILVER",280
"Ogbonnaya",778,"Germany","Female","45",1,162150.42,2,1,0,174531.27,0,2,"DIAMOND",250
"T'ang",636,"France","Male","42",2,0,2,1,1,55470.78,0,4,"PLATINUM",991
"Cocci",804,"France","Female","50",4,0,1,1,1,8546.87,1,2,"GOLD",482
"Chang",514,"France","Male","32",8,0,2,1,0,95857.18,0,4,"PLATINUM",423
"T'ao",730,"France","Female","39",1,99010.67,1,1,0,194945.8,0,5,"GOLD",260
"Ford",525,"Spain","Female","37",0,0,1,0,1,131521.72,0,5,"SILVER",642
"Marshall",616,"Spain","Male","30",5,0,2,0,1,196108.51,0,4,"PLATINUM",701
"Tsai",687,"Germany","Female","34",7,111388.18,2,1,0,148564.76,0,4,"GOLD",570
"Onwumelu",715,"France","Female","41",8,56214.85,2,0,0,92982.61,1,4,"GOLD",790
"Graham",512,"France","Female","36",3,84327.77,2,1,0,17675.36,0,5,"PLATINUM",727
"Golovanov",479,"France","Male","40",1,0,2,0,0,114996.43,0,3,"SILVER",909
"Potts",601,"France","Male","32",8,93012.89,1,1,0,86957.42,0,2,"GOLD",799
"Crawford",580,"Spain","Male","29",9,61710.44,2,1,0,128077.8,0,1,"DIAMOND",520
"Aleshire",807,"France","Male","35",3,174790.15,1,1,1,600.36,0,3,"SILVER",861
"Moran",616,"Spain","Female","32",6,0,2,1,1,43001.46,0,5,"GOLD",512
"Samsonova",721,"Germany","Male","37",3,107720.64,1,1,1,158591.12,0,1,"PLATINUM",478
"Jenkins",501,"France","Male","57",10,0,2,1,1,47847.19,0,5,"PLATINUM",374
"Volkov",521,"France","Male","35",6,96423.84,1,1,0,10488.44,0,4,"PLATINUM",280
"Chiemezie",850,"Spain","Male","30",2,141040.01,1,1,1,5978.2,0,2,"DIAMOND",615
"Jude",759,"France","Male","42",4,105420.18,1,0,1,121409.06,0,3,"GOLD",435
"He",516,"Spain","Male","50",5,0,1,0,1,146145.93,1,5,"GOLD",509
"Onuora",711,"France","Female","38",2,129022.06,2,1,1,14374.86,1,4,"DIAMOND",321
"Ginikanwa",512,"Spain","Male","33",3,176666.62,1,1,0,94670.77,0,1,"PLATINUM",726
"Ku",550,"France","Male","37",3,0,1,1,1,179670.31,0,3,"GOLD",516
"McDonald",608,"Spain","Female","41",3,89763.84,1,0,0,199304.74,1,3,"PLATINUM",639
"Collins",618,"France","Male","34",5,134954.53,1,1,1,151954.39,0,2,"SILVER",512
"Hackett",643,"France","Male","45",5,0,1,1,0,142513.5,1,3,"GOLD",730
"Dike",671,"France","Male","45",2,106376.85,1,0,1,158264.62,0,3,"DIAMOND",244
"Trevisano",689,"Germany","Male","33",2,161814.64,2,1,0,169381.9,0,3,"PLATINUM",292
"Tan",603,"France","Male","31",8,0,2,1,1,169915.02,0,3,"GOLD",245
"Glassman",620,"France","Female","41",9,0,2,0,0,88852.47,0,3,"DIAMOND",848
"Miller",676,"France","Female","34",1,63095.01,1,1,1,40645.81,0,3,"SILVER",974
"Kornilova",572,"Germany","Male","26",4,118287.01,2,0,0,60427.3,0,4,"DIAMOND",958
"Watson",668,"Germany","Male","47",7,106854.21,1,0,1,157959.02,1,3,"GOLD",629
"Marchesi",695,"France","Male","46",7,49512.55,1,1,0,133007.34,0,3,"DIAMOND",310
"Millar",730,"Spain","Female","33",9,0,2,0,0,176576.62,0,1,"SILVER",621
"Shih",807,"France","Male","43",1,105799.32,2,1,0,34888.04,1,4,"DIAMOND",924
"Fuller",592,"France","Male","54",8,0,1,1,1,28737.71,1,2,"PLATINUM",359
"Hay",726,"France","Female","31",9,114722.05,2,1,1,98178.57,0,5,"SILVER",811
"Yang",514,"Spain","Male","30",7,0,1,0,1,125010.24,0,4,"DIAMOND",583
"McIntyre",567,"France","Male","42",2,0,2,1,1,167984.61,0,5,"SILVER",959
"Stevenson",850,"France","Male","33",10,0,1,1,0,4861.72,1,1,"SILVER",359
"Poole",671,"Germany","Male","45",6,99564.22,1,1,1,108872.45,1,3,"PLATINUM",901
"Bagley",670,"France","Male","37",4,170557.91,2,1,0,198252.88,0,5,"GOLD",729
"Ch'ien",694,"France","Female","30",9,0,2,1,1,26960.31,0,5,"DIAMOND",829
"Cattaneo",547,"Germany","Female","39",6,74596.15,3,1,1,85746.52,1,4,"SILVER",790
"O'Sullivan",751,"Germany","Male","50",2,96888.39,1,1,0,77206.25,1,2,"DIAMOND",756
"Lucas",594,"Germany","Female","29",3,130830.22,1,1,0,61048.53,0,4,"GOLD",873
"Ringrose",673,"France","Male","72",1,0,2,0,1,111981.19,0,3,"SILVER",865
"Freeman",610,"France","Male","40",0,0,2,1,0,62232.6,0,5,"GOLD",690
"Sergeyev",512,"France","Female","37",1,0,2,0,1,156105.03,0,4,"PLATINUM",722
"Fiore",767,"Germany","Male","20",3,119714.25,2,0,1,150135.38,0,4,"DIAMOND",535
"Smith",585,"France","Female","67",5,113978.97,2,0,1,93146.11,0,5,"SILVER",580
"Dumetochukwu",763,"Germany","Male","42",6,100160.75,1,1,0,33462.94,1,3,"GOLD",709
"Pacheco",712,"France","Female","29",2,0,1,1,1,144375,0,4,"GOLD",930
"Synnot",539,"Germany","Female","43",3,116220.5,3,1,0,55803.96,1,4,"DIAMOND",264
"Johnston",668,"France","Female","46",2,0,3,1,0,89048.46,1,1,"DIAMOND",943
"Stevens",703,"France","Male","28",2,81173.83,2,0,1,162812.16,0,2,"PLATINUM",388
"Grant",662,"Spain","Male","38",4,0,2,1,0,136259.65,0,5,"GOLD",248
"Tsao",725,"Germany","Female","39",5,116803.8,1,1,0,124052.97,0,2,"GOLD",763
"Barnes",703,"France","Male","37",8,105961.68,2,0,1,74158.8,0,1,"DIAMOND",619
"McIntosh",659,"Germany","Male","67",6,117411.6,1,1,1,45071.09,1,2,"SILVER",815
"Madison",523,"Spain","Male","34",7,0,2,1,0,62030.06,0,4,"DIAMOND",566
"Ifesinachi",635,"France","Female","40",10,123497.58,1,1,0,131953.23,1,5,"GOLD",774
"Glazkov",772,"Germany","Male","26",7,152400.51,2,1,0,79414,0,1,"PLATINUM",695
"Dimauro",545,"France","Female","26",1,0,2,1,1,199638.56,0,5,"PLATINUM",902
"Wieck",634,"Germany","Male","24",8,103097.85,1,1,1,157577.29,0,2,"GOLD",532
"Liao",739,"Germany","Male","54",8,126418.14,1,1,0,134420.75,1,2,"DIAMOND",718
"Hughes",771,"Germany","Female","36",5,77846.9,1,0,0,99805.99,0,5,"PLATINUM",895
"Morrison",587,"Spain","Female","34",1,0,2,1,1,97932.68,0,4,"DIAMOND",749
"Matveyeva",681,"France","Female","79",0,0,2,0,1,170968.99,0,5,"DIAMOND",333
"Ku",544,"Germany","Male","37",2,79731.91,1,1,1,57558.95,0,4,"DIAMOND",866
"Cheatham",696,"Spain","Male","28",8,0,1,0,0,176713.47,0,3,"SILVER",671
"Yao",766,"Spain","Male","41",0,0,2,0,1,34283.23,0,4,"GOLD",670
"Kirkland",727,"France","Male","34",10,0,2,1,1,198637.34,0,4,"GOLD",768
"Rose",671,"Germany","Female","34",6,37266.67,2,0,0,156917.12,0,3,"SILVER",565
"Jess",693,"France","Female","30",6,127992.25,1,1,1,50457.2,0,1,"SILVER",483
"Welch",850,"Germany","Male","38",3,54901.01,1,1,1,140075.55,0,2,"GOLD",926
"Ifeajuna",732,"Germany","Male","42",9,108748.08,2,1,1,65323.11,0,1,"DIAMOND",932
"Morton",726,"Spain","Female","48",6,99906.19,1,1,0,64323.24,0,4,"DIAMOND",901
"Rossi",557,"France","Female","32",6,184686.41,2,1,0,14956.44,0,3,"GOLD",299
"Reppert",682,"France","Female","26",0,110654.02,1,0,1,111879.21,0,2,"PLATINUM",899
"Kang",738,"Spain","Male","31",9,79019.8,1,1,1,18606.23,0,4,"PLATINUM",467
"Ch'iu",531,"Spain","Female","36",9,99240.51,1,1,0,123137.01,0,1,"PLATINUM",717
"Wallis",498,"France","Male","34",2,0,2,1,1,148528.24,0,1,"DIAMOND",549
"Clark",651,"France","Male","36",7,0,2,1,0,13898.31,0,1,"GOLD",545
"Fielding",549,"Spain","Female","39",7,0,1,0,0,81259.25,1,2,"GOLD",716
"Zetticci",791,"Germany","Female","35",7,52436.2,1,1,0,161051.75,0,2,"SILVER",650
"Dulhunty",650,"Spain","Male","41",9,0,2,0,1,191599.67,0,4,"PLATINUM",693
"Bevington",733,"Germany","Male","34",3,100337.96,3,1,0,48559.19,1,4,"PLATINUM",759
"Boyle",811,"Germany","Female","34",1,149297.19,2,1,1,186339.74,0,2,"GOLD",946
"Newton",707,"France","Male","30",8,0,2,1,0,33159.37,0,5,"GOLD",402
"Bowman",712,"Germany","Male","28",4,145605.44,1,0,1,93883.53,0,3,"PLATINUM",465
"Dubinina",706,"Spain","Female","37",7,0,2,1,1,110899.3,0,1,"GOLD",799
"Toscani",756,"France","Male","62",3,0,1,1,1,11199.04,1,3,"SILVER",600
"Chiazagomekpere",777,"France","Female","53",10,0,2,1,0,189992.97,0,2,"PLATINUM",306
"Allen",646,"France","Male","35",6,84026.86,1,0,1,164255.69,0,3,"SILVER",635
"K'ung",714,"France","Male","46",1,0,1,1,0,152167.79,1,2,"PLATINUM",747
"Wilsmore",782,"France","Male","39",8,0,2,1,1,33949.67,0,3,"PLATINUM",424
"Hargreaves",775,"Spain","Male","29",10,0,2,1,1,68143.93,0,2,"DIAMOND",913
"Huang",479,"Germany","Male","35",4,138718.92,1,1,1,47251.79,1,1,"GOLD",751
"Ch'ien",807,"France","Male","42",7,118274.71,1,1,1,25885.72,0,3,"DIAMOND",899
"Wallwork",799,"France","Female","22",8,174185.98,2,0,1,192633.85,0,3,"PLATINUM",219
"Chu",675,"France","Male","40",7,113208.86,2,1,0,34577.36,0,3,"SILVER",587
"Kang",602,"Spain","Male","29",5,103907.28,1,1,0,161229.84,0,2,"SILVER",861
"Davidson",475,"France","Female","32",8,119023.28,1,1,0,100816.29,0,1,"PLATINUM",278
"O'Donnell",744,"Spain","Female","26",5,166297.89,1,1,1,181694.44,0,1,"PLATINUM",526
"Nnachetam",588,"Spain","Male","34",10,0,2,1,0,79078.91,0,2,"PLATINUM",632
"Chidiebele",703,"Germany","Male","42",9,63227,1,0,1,137316.32,0,3,"SILVER",301
"Ahmed",747,"Spain","Female","41",5,94521.17,2,1,0,194926.86,0,1,"DIAMOND",806
"Booth",583,"France","Male","27",7,0,2,1,0,51285.49,0,1,"PLATINUM",250
"Chuang",750,"Spain","Female","34",9,112822.26,1,0,0,150401.53,1,2,"PLATINUM",563
